epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0823,2.06245,4.45153,1.4018,0.16492,0.4128,0.16843,0.07762,2.12619,4.3261,1.49778,4e-05,4e-05,4e-05
2,47.8646,1.94629,3.31773,1.34912,0.56889,0.51447,0.63718,0.29773,1.98861,2.28798,1.41699,8.8515e-05,8.8515e-05,8.8515e-05
3,59.2382,1.89282,2.21305,1.36487,0.62746,0.49732,0.59722,0.27142,1.97603,1.92617,1.39414,0.00013538,0.00013538,0.00013538
4,66.3755,1.82647,1.82669,1.35072,0.64231,0.69693,0.66645,0.31639,1.99361,1.7346,1.39725,0.000180595,0.000180595,0.000180595
5,71.5878,1.79241,1.54184,1.29891,0.792,0.61987,0.70055,0.29736,2.01753,2.09128,1.39403,0.00022416,0.00022416,0.00022416
6,76.8713,1.80664,1.53489,1.31547,0.66627,0.65357,0.69568,0.30394,2.04356,1.90172,1.38819,0.000266075,0.000266075,0.000266075
7,80.7791,1.76992,1.51793,1.29739,0.57878,0.74721,0.78077,0.35437,2.0362,1.79612,1.40383,0.00030634,0.00030634,0.00030634
8,84.2105,1.77486,1.32218,1.28202,0.56936,0.77187,0.76131,0.32467,2.08142,1.76835,1.46381,0.000344955,0.000344955,0.000344955
9,88.1419,1.76243,1.36639,1.3207,0.54954,0.82262,0.86708,0.40024,1.89475,1.38425,1.39079,0.00038192,0.00038192,0.00038192
10,93.602,1.68241,1.26334,1.25533,0.68452,0.75902,0.86314,0.36216,1.93685,1.72832,1.41471,0.000417235,0.000417235,0.000417235
11,99.4412,1.78846,1.22042,1.28277,0.54695,0.84764,0.84153,0.35758,1.98242,1.50133,1.42309,0.0004509,0.0004509,0.0004509
12,105.941,1.62255,1.13256,1.23152,0.78889,0.74765,0.85905,0.36402,1.97599,1.34706,1.45421,0.000482915,0.000482915,0.000482915
13,111.497,1.66737,1.18148,1.24227,0.69146,0.89069,0.89866,0.39794,1.94934,1.31564,1.45396,0.00051328,0.00051328,0.00051328
14,117.594,1.68809,1.12447,1.26332,0.51932,0.89328,0.88272,0.41096,1.89792,1.40352,1.40728,0.000541995,0.000541995,0.000541995
15,123.804,1.67176,1.07445,1.23351,0.81587,0.80228,0.83518,0.37479,1.91233,1.33371,1.4393,0.00056906,0.00056906,0.00056906
16,129.434,1.60499,1.01979,1.2343,0.82427,0.72057,0.8403,0.41066,1.91435,1.22712,1.46262,0.000594475,0.000594475,0.000594475
17,134.629,1.57119,1.02832,1.23265,0.95121,0.70272,0.81765,0.36942,1.90925,1.1838,1.44722,0.00061824,0.00061824,0.00061824
18,139.724,1.67571,1.04447,1.28614,0.79893,0.75595,0.79413,0.39233,1.92014,1.15856,1.42827,0.000640355,0.000640355,0.000640355
19,146.163,1.5719,0.96427,1.23577,0.62098,0.7869,0.79976,0.37258,1.93889,1.19027,1.43631,0.00066082,0.00066082,0.00066082
20,151.056,1.63338,0.97872,1.19631,0.93,0.63583,0.82663,0.36972,1.90626,1.10825,1.41985,0.000679635,0.000679635,0.000679635
21,157.441,1.56888,0.97234,1.20131,0.93944,0.60258,0.83332,0.35463,2.00321,1.13675,1.51749,0.00067,0.00067,0.00067
22,161.671,1.56375,0.9797,1.21213,0.87442,0.60138,0.7522,0.32788,1.96589,1.11195,1.47981,0.0006535,0.0006535,0.0006535
23,167.837,1.59551,0.96279,1.20538,0.86834,0.62581,0.80824,0.40873,1.87544,1.03388,1.42633,0.000637,0.000637,0.000637
24,172.56,1.5193,0.91551,1.1774,0.89929,0.73491,0.86002,0.41331,1.97344,1.02624,1.43468,0.0006205,0.0006205,0.0006205
25,177.588,1.46652,0.89484,1.16773,0.92794,0.79763,0.94653,0.42551,1.95018,1.03271,1.4294,0.000604,0.000604,0.000604
26,183.387,1.51495,0.91745,1.20118,0.84741,0.83328,0.91588,0.45178,1.87654,1.04358,1.43289,0.0005875,0.0005875,0.0005875
27,188.469,1.5071,0.8961,1.18029,0.83412,0.833,0.88359,0.41528,1.84376,1.10721,1.42007,0.000571,0.000571,0.000571
28,194.82,1.48811,0.90926,1.17997,0.87218,0.91515,0.9489,0.44647,1.88507,0.95695,1.46673,0.0005545,0.0005545,0.0005545
29,200.21,1.45966,0.89691,1.16085,0.83559,0.92956,0.94462,0.44082,1.89298,1.00043,1.48361,0.000538,0.000538,0.000538
30,204.51,1.35363,0.82584,1.13424,0.8488,0.82025,0.93258,0.44684,1.88147,1.05,1.45678,0.0005215,0.0005215,0.0005215
31,211.289,1.47014,0.91879,1.18567,0.7942,0.83043,0.91491,0.4421,1.89263,1.15824,1.42768,0.000505,0.000505,0.000505
32,215.162,1.42119,0.87316,1.14451,0.77076,0.91783,0.91679,0.44873,1.91109,1.05306,1.42523,0.0004885,0.0004885,0.0004885
33,222.141,1.36593,0.82572,1.13847,0.8373,0.87138,0.91347,0.4374,1.94086,0.98646,1.44107,0.000472,0.000472,0.000472
